Group,Sex,Ix ,Iy ,J ,IxIy
Early Upper Paleolithic,Male,181.2645779,101.7214867,282.9860647,1.781969412
Early Upper Paleolithic,Male,201.2416005,133.7366515,334.9782521,1.504760275
Early Upper Paleolithic,Male,221.1954937,134.7159402,355.911434,1.641940021
Early Upper Paleolithic,Male,209.3828425,175.4878361,384.8706786,1.193147327
Early Upper Paleolithic,Male,243.988655,146.4864965,390.4751515,1.665605096
Early Upper Paleolithic,Male,241.3520586,151.3487863,392.7008449,1.594674556
Early Upper Paleolithic,Male,217.7679228,175.0874019,392.8553247,1.243766944
Early Upper Paleolithic,Male,364.9502799,214.3264287,579.2767086,1.702777778
Early Upper Paleolithic,Male,430.692929,232.9699912,663.6629202,1.848705607
Late Upper Paleolithic,Male,180.5090098,149.0843644,329.5933742,1.210784314
Late Upper Paleolithic,Male,192.2806187,200.6406456,392.9212643,0.958333333
Late Upper Paleolithic,Male,194.8644331,214.2700198,409.1344529,0.909433962
Late Upper Paleolithic,Male,274.2014156,151.1992615,425.4006771,1.813510284
Late Upper Paleolithic,Male,256.274078,175.0164435,431.2905215,1.464285714
Late Upper Paleolithic,Male,256.1538454,178.728813,434.8826584,1.433198381
Late Upper Paleolithic,Male,242.4645482,196.5493348,439.013883,1.233606557
Late Upper Paleolithic,Male,284.1676092,173.4116859,457.5792951,1.638687772
Late Upper Paleolithic,Male,275.6808905,193.3009538,468.9818444,1.426174497
Late Upper Paleolithic,Male,286.8831018,186.6468373,473.5299391,1.537037037
Late Upper Paleolithic,Male,250.8737983,229.3982203,480.2720186,1.093617021
Late Upper Paleolithic,Male,324.6591931,223.5563779,548.215571,1.45224751
Late Upper Paleolithic,Male,330.8001088,229.760745,560.5608538,1.439759036
Late Upper Paleolithic,Male,304.9223564,295.2068156,600.129172,1.032910964
Mesolithic,Male,131.9144948,142.4250611,274.3395558,0.926202831
Mesolithic,Male,188.4152307,152.3513779,340.7666086,1.236714976
Mesolithic,Male,187.7983665,155.2574426,343.0558091,1.209593326
Mesolithic,Male,184.3838691,174.8167816,359.2006507,1.054726368
